"BehaviorSpace results (NetLogo 6.0.4)"
"ds_model_code-done.nlogo"
"flow-on-x-6"
"08/16/2019 02:30:31:718 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","60","0","30"
"[run number]","sidewalk-width","pedestrian-flow","disabled-proportion","bus-stop-type","[step]","mean-delay","mean-delay-dis","mean-delay-non","total-colli","mean-colli-dis","mean-colli-non"
"56","6","200","0.05","backing road","36000","0.6404447482918975","0.8180901681611749","0.5919959974184582","42","4.666666666666667","2.5454545454545454"
"55","6","200","0.05","backing road","36000","1.8366752181421333","3.592110000554749","1.2515302906712613","55","5.25","2.8333333333333335"
"67","6","200","0.05","backing footway","36000","0.3037762135870075","-0.003073620819218803","0.3804886721885641","10","0.5","1.125"
"63","6","200","0.05","backing footway","36000","0.376408622750165","0.2931473813040153","0.38921804451111114","19","1","1.3076923076923077"
"64","6","200","0.05","backing footway","36000","1.1517513275275195","0","1.1517513275275195","12","0","1.2"
"61","6","200","0.05","backing footway","36000","0.8289257043252677","0.7242289964727835","0.8588390494259774","51","2.5","2.9285714285714284"
"68","6","200","0.05","backing footway","36000","1.5332735768042018","4.066857176923037","1.1110096434510626","27","6","1.25"
"66","6","200","0.05","backing footway","36000","1.0532558212625456","1.0976789327880259","1.0342173448944825","47","3.5","1.8571428571428572"
"62","6","200","0.05","backing footway","36000","1.1740148814411937","1.6750457907347176","1.090509729892273","33","4.5","2"
"70","6","200","0.05","backing footway","36000","0.5169746415796421","0.3328533967084297","0.5783483898700462","13","0.6666666666666666","1.2222222222222223"
"65","6","200","0.05","backing footway","36000","1.4312703917428415","3.3020760912174474","1.244189821795381","79","5.5","3.4"
"71","6","200","0.05","backing building","36000","1.0475605478679983","0","1.0475605478679983","16","0","1.1428571428571428"
"69","6","200","0.05","backing footway","36000","1.0527746015838217","0.004730326933533036","1.1144242647985447","40","2","2.235294117647059"
"73","6","200","0.05","backing building","36000","0.629156773220099","0","0.629156773220099","28","0","2.3333333333333335"
"72","6","200","0.05","backing building","36000","0.7550893097653192","0.9666556533851711","0.7268804639493389","39","2","2.3333333333333335"
