,[run number],sidewalk_width,pedestrian_flow,disabled-proportion,bus_stop_type,second,average_speed,density,mean_delay,mean_delay_disabled,mean_delay_non_disabled,total_conflict_incidents,mean_conflict_disabled,mean_conflict_non_disabled
169,11,6,1500,0.05,backing road,180,0.55540923,0.17222222199999998,4.752635821,4.977138547,4.72457298,1059,17.88888889,12.47222222
170,12,6,1500,0.05,backing road,180,0.49088756200000006,0.21111111100000002,9.704897357,7.2178383539999995,10.14379012,800,16.66666667,12.74509804
171,15,6,1500,0.05,backing road,180,0.505279475,0.255555556,3.4992350610000003,3.04693758,3.576040293,683,12.22222222,10.81132075
172,16,6,1500,0.05,backing road,180,0.675618602,0.18888888899999998,6.649918987,9.428433549,6.136962453,1040,17.83333333,12.70769231
173,13,6,1500,0.05,backing road,180,0.41578108399999997,0.21666666699999998,11.80439187,28.38487073,9.814734404,767,20.5,12.88
174,18,6,1500,0.05,backing road,180,0.655650081,0.21111111100000002,4.231844381,4.365378604,4.210979658,937,14.9,12.3125
175,14,6,1500,0.05,backing road,180,0.34018968,0.238888889,6.914439483,9.663488591,6.4321501660000004,874,20.7,11.70175439
176,8,6,1500,0.05,bus flag,180,0.374723989,0.29444444399999997,3.7397536610000004,4.432378613,3.5786780910000004,653,14.9,11.72093023
177,20,6,1500,0.05,backing road,180,0.612627374,0.194444444,6.686030776,5.690023762,6.860768848999999,797,13.4,11.63157895
178,21,6,1500,0.05,backing footway,180,0.669320016,0.161111111,5.887812594,6.436808186,5.7611213039999996,1077,16.0,12.87692308
179,17,6,1500,0.05,backing road,180,0.46632147,0.283333333,6.2340020670000005,7.041445962,6.1545813560000004,865,18.66666667,12.3442623
180,22,6,1500,0.05,backing footway,180,0.6410825379999999,0.20555555600000003,4.668584978999999,5.214446804,4.554524299,959,14.35714286,11.31343284
181,23,6,1500,0.05,backing footway,180,0.462095928,0.18888888899999998,2.305063964,1.994037155,2.343260239,449,5.428571429,7.210526316
182,24,6,1500,0.05,backing footway,180,0.656650196,0.17222222199999998,5.219140775,3.287252347,5.514290396,992,14.90909091,11.5
183,25,6,1500,0.05,backing footway,180,0.641794505,0.21111111100000002,4.124632863,3.615804645,4.191364432,775,13.5,10.93442623
184,27,6,1500,0.05,backing footway,180,0.644717311,0.127777778,4.192468869,2.843979552,4.399928763999999,823,13.6,10.56923077
185,28,6,1500,0.05,backing footway,180,0.571888219,0.194444444,4.088907823,5.228765861,3.9237110060000004,1001,17.8,11.92753623
186,30,6,1500,0.05,backing footway,180,0.620121425,0.21666666699999998,2.832861037,1.999202837,2.9644912789999998,613,8.555555556,9.403508772
187,33,6,1500,0.05,backing building,180,0.674513404,0.177777778,3.6785622439999996,4.6129921089999995,3.541146087,933,17.4,11.16176471
188,31,6,1500,0.05,backing building,180,0.516214747,0.24444444399999998,8.056940821,2.579108259,8.83948833,696,14.71428571,12.10204082
189,29,6,1500,0.05,backing footway,180,0.5067739,0.233333333,3.9013194810000003,4.365051234,3.817004617,759,14.0,11.25454545
190,32,6,1500,0.05,backing building,180,0.524404429,0.20555555600000003,6.9360688779999995,15.61349849,5.834173053,1011,22.25,13.22222222
191,26,6,1500,0.05,backing footway,180,0.462249408,0.18888888899999998,5.678674094,5.441573291,5.717601092000001,1060,16.63636364,13.08955224
192,19,6,1500,0.05,backing road,180,0.30944254600000004,0.272222222,18.71031544,11.18568499,20.68105199,990,22.0,17.80952381
193,37,6,1500,0.05,backing building,180,0.604862562,0.13888888900000002,2.99400285,1.7092917730000001,3.0844754610000003,852,14.0,11.01408451
194,34,6,1500,0.05,backing building,180,0.481136859,0.238888889,5.6194546160000005,5.0755277439999995,5.703135673999999,1029,16.7,13.26153846
