,pedestrian_flow,bus flag_mean,bus flag_stdv,backing road_mean,backing road_stdv,backing footway_mean,backing footway_stdv,backing building_mean,backing building_stdv
73,73,8.0139331964,1.3904679692412394,8.7473567006,1.496718218582901,10.004273588,1.5914337224287889,9.1237079866,1.3611360566637352
74,74,7.9566782944,1.3629697264844924,8.8465341898,1.4280605019635473,10.038995811,1.600144672021823,9.1684781732,1.3637068341194403
75,75,7.9665031038,1.3724369339230933,8.8554508565,1.4157963070325912,10.1266698038,1.4255140450935946,9.2175876132,1.295660453469266
76,76,8.1004246728,1.4341298863884082,8.9143147439,1.339207277518419,10.1641147502,1.2685598527687738,9.2411819076,1.34648838492035
77,77,8.1606585906,1.475942156081986,8.9290480109,1.2835815995579234,10.2636088838,1.2455026223942047,9.3064630592,1.3709593416605763
78,78,8.2361718363,1.4785276655292665,8.9912434951,1.204262834354374,10.3215537306,1.1826178459471073,9.4007639102,1.4933341463758663
79,79,8.1911405712,1.4960517684072872,8.9810109497,1.1941290136843,10.3768312409,1.1532110719455644,9.4852848714,1.4755740087446312
80,80,8.2230777329,1.5768729926406373,9.0047055309,1.2325659032152465,10.3981617625,1.213829894228287,9.5001446948,1.412199885519232
81,81,8.2349600564,1.5405586236237228,9.0743822449,1.234351366345718,10.4327160349,1.1860631396257795,9.6451025551,1.4573501604277086
82,82,8.2510457635,1.5381927260221644,9.1639338562,1.1703467183360106,10.4569011484,1.1760209800832526,9.7492485521,1.438823599195393
83,83,8.2933440643,1.5442741534891509,9.4285473793,1.1685980902433049,10.4666730314,1.204323068054145,9.8699224595,1.390160013624341
84,84,8.3615583565,1.5722475984993527,9.4164040508,1.1784962291767616,10.4589452919,1.2212539400084963,9.955594290299999,1.347324398941274
85,85,8.4228624744,1.5417338292576626,9.4161962951,1.1748786200603845,10.4661155256,1.2302483505731536,9.970627264099999,1.3386823046514165
86,86,8.4115107839,1.5171335452765833,9.5301925016,1.1856532121078103,10.4438632321,1.1688827964182542,9.9944367879,1.3100409513791538
87,87,8.4459288972,1.5211789540909815,9.5862810967,1.209610055579129,10.484765168100001,1.170852731583822,10.0220083852,1.301518446688286
88,88,8.55007036,1.4475009736018432,9.627137940999999,1.1771308064295654,10.478971528999999,1.1201359916279447,10.0267941018,1.2840502320978042
89,89,8.5887527539,1.3977048015869133,9.6525644469,1.1519361630066356,10.541542719199999,1.1049599837625796,10.023877988599999,1.2768062428295608
90,90,8.6030519963,1.3835013787515757,9.6537311136,1.1508790240910654,10.5373228672,1.0996240160225894,10.0564546465,1.2794738336979594
91,91,8.6461371703,1.3408013453151686,9.7139254482,1.2089048830426234,10.5830090064,1.055437792654971,10.0625753764,1.2833368064655615
92,92,8.6485740221,1.283442309453318,9.7864163258,1.2410980682429322,10.5944999824,1.0415206295216486,10.0920629859,1.351437321482033
93,93,8.6891353027,1.270109259857266,9.800280897,1.2372894439191549,10.6267127547,1.0457840222866202,10.1329512086,1.2653962504317848
94,94,8.6987231597,1.266094649510458,9.7746247377,1.2479458623260284,10.6714797651,1.0662161586825698,10.1744160115,1.2410033318785558
95,95,8.7258906474,1.2528447129520872,9.8071840275,1.2356736235169978,10.6841559623,1.070681854563444,10.1505777683,1.2578450151630205
96,96,8.739106037300001,1.2571260726087166,9.8155509625,1.247303257236305,10.6835507023,1.070023975267133,10.2161863904,1.3504000196857768
97,97,8.7398517089,1.21773363966825,9.8402390195,1.2451374558937207,10.7059890683,1.094366002060938,10.2793171281,1.3850724068816387
98,98,8.7711961454,1.2021929406674807,9.8225323922,1.227990799318839,10.7601505218,1.1269372698155316,10.2935084699,1.372394536341178
99,99,8.823334192499999,1.1759941120000237,9.8260323977,1.2111060233912259,10.7949827341,1.1364111763044351,10.2890546879,1.371509833776117
100,100,8.8075404534,1.1832373950699049,9.8260323977,1.2111060233912259,10.8092953577,1.1258128607449904,10.3119844898,1.384468604918778
101,101,8.8454935133,1.1671667845661096,9.849938692,1.1735073438153762,10.803908151,1.1371984315233066,10.319885589,1.362506809972172
102,102,8.8351896,1.1593490398204127,9.8406717583,1.1353488652719048,10.820713617,1.1432223191817428,10.329420124,1.3871283768985914
103,103,8.9583361414,1.1030271806442438,9.9416026236,1.0850908856257087,10.835475521,1.142238092540072,10.3583917145,1.407114251954033
104,104,8.9583361414,1.1030271806442438,9.9461568931,1.07790871026034,10.845000065,1.1574515844279218,10.4106188668,1.5306765731192273
105,105,8.9786991247,1.0748351285569897,9.9471525054,1.0964477327462976,10.8322927384,1.1821845367560373,10.461241577500001,1.4947600992504997
106,106,9.0407491896,1.115924656094118,9.9818566206,1.0764455002412234,10.9042551891,1.2461605267404408,10.5804433619,1.65025129834602
107,107,9.1544819571,1.1123810294897893,10.017969963,1.0471145573075138,10.8940602954,1.2448507692544495,10.6100816491,1.7080014142326436
108,108,9.1683135677,1.1468053872756792,10.0323142157,1.0137445163180554,10.9052779539,1.2456401103712629,10.6707345318,1.7125080223636335
109,109,9.1713500049,1.1458080514398175,10.0589553489,1.0165091354703129,10.8894191149,1.2475583191966146,10.7102665515,1.6877799665023956
110,110,9.1907972243,1.1376998833227294,10.0806220159,1.0252785275081728,10.8979432539,1.2513672789149721,10.7087081105,1.6851561301718205
111,111,9.2235936619,1.0826387155717763,10.1165209049,1.0579424952131231,10.8924174069,1.251583252551903,10.7120308662,1.6887698781469378
112,112,9.250956612,1.056961595872127,10.1711158295,1.0067555159911317,10.9032421851,1.2660213436823806,10.7097906502,1.6878874114554412
113,113,9.2048527159,1.0552723857383048,10.1811386661,1.0380423779650303,10.9128527853,1.2805064671960988,10.7271025062,1.6856286215343257
114,114,9.231228482799999,1.0524222263114829,10.1611868735,1.0560305228524225,10.9258705413,1.2824244751929847,10.810604551299999,1.8007969174277596
115,115,9.260271443099999,1.0885709657137648,10.188639204000001,1.0386904695728325,10.9156685211,1.294572696309231,10.8088825503,1.7690254485564643
116,116,9.2694096909,1.1116286973782878,10.204125462,1.0562200601139862,10.9074460332,1.3217584327938678,10.7840144313,1.7759004609347744
117,117,9.2813164942,1.1065929293872878,10.220688139,1.0615977185446843,10.9026956952,1.3253823872216972,10.815709031,1.761697435004379
